,Name,Comments,Likes,Replies,Published
190,100k challenge with 0 video,“I am queen of the most powerful nation in the world and my entire family is gone! Have I not given everything?!” That line and the trailer as a whole sent chills down my spine. Can’t wait to see this.,2.5K, 30 replies,3 days ago
191,Karsyn Eat my Mangos💦,"This trailer stands out from every other trailer we’ve gotten in a long time. It’s emotional, elegant and touched our heart. So it makes sure to not reveal too much while telling you what the movie is about. Just let it be this is perfect.

RIP Chadwick",55,1 reply,11 hours ago
192,Jarif,"Totally agreed! I hope this channel never ends and keeps spreading happiness. Whoever is reading this, I hope this day will be a great day. I pray whoever reads this right now, may you get everything you wish.",0,0 reply,11 hours ago
193,Baltej Miglani,You know the trailer is next level when it gives you goosebumps and brings you to tears at the same time. Rest in Power Chadwick,2.1K, 34 replies,15 hours ago
194,Jarif,"Totally agreed! I hope this channel never ends and keeps spreading happiness. Whoever is reading this, I hope this day will be a great day. I pray whoever reads this right now, may you get everything you wish.",0,0 reply,11 hours ago
195,Jarif,"Totally agreed! I hope this channel never ends and keeps spreading happiness. Whoever is reading this, I hope this day will be a great day. I pray whoever reads this right now, may you get everything you wish.",0,0 reply,11 hours ago
196,Abospitter,"“I am queen of the most powerful nation in the world and my entire family is gone! Have I not given everything?” 

theres only one statement said in the entire trailer yet so powerful and it game me feels ",1,0 reply,2 hours ago (edited)
197,100k challenge with 0 video,“I am queen of the most powerful nation in the world and my entire family is gone! Have I not given everything?!” That line and the trailer as a whole sent chills down my spine. Can’t wait to see this.,2K, 34 replies,1 day ago
198,aleksandar boskovski,"Goosebumps,mix feelings, tears ...
Miss you man 
R.i.p  ....Black panther was more than a movie bro, you've managed 2 bring back faith in humanity    God bless your soul sir ",0,0 reply,5 hours ago
199,S Muche,Thank you Marvel for letting Ryan Coogler do this. A story that actually deserves Bob Marley's greatest song,0,0 reply,3 hours ago (edited)
200,The Rookie Fisherman,I loved the first one I'm sure I will love this one.,0,0 reply,5 hours ago
201,Clark William,"one of the BEST trailers for MCU! May be the best , very emotional.",0,0 reply,10 hours ago
202,latinchick21011,This trailer is simply perfect-no need for a full trailer. I don't think my heart could take it. Beautifully shot and the music says it all-spoke of grief with the glimmer of hope that everything will be ok. Movie is going to be epic and I plan on buying my tickets early because we are going to show up for Boseman and this wonderful cast. Well done Marvel and Ryan Coogler-Bravo!,1.7K, 23 replies,2 days ago
203,#43423,"You guys Nailed it!!!
It's like waking up from a long hibernation.
After so many bad reviews about recent movies.
I feel this is gonna Get wooooooo...",0,0 reply,11 hours ago
204,Abigail W.,"Queen Ramonda: My entire family is GONE.

Shuri: What am I, chopped liver?",1,0 reply,6 hours ago
205,Rita 25 y.o - check my vidéó,"holy cow. this trailer hits home in ways i could never have anticipated. arguably the most important MCU film on the docket. After an overly comic relief rendition of Thor, I can't wait to get back into the deep end.",0,0 reply,4 hours ago
206,Sdarms111 Doug,Very much enjoyed the first movie.  Looking forward to seeing this one.,0,0 reply,12 hours ago
207,Prameela ravindeeran Ravindeeran,That last scn give goosebumps ️️,0,0 reply,9 hours ago
208,Andrew Layden,"Honestly, I've been feeling some superhero fatigue because of all the Marvel shows and movies. But this is something I can't miss. On a superficial level, this looks freaking awesome! But it also feels emotionally powerful due to the loss of Chadwick. I have a feeling that those tears for him in the trailer were very real. We miss you, man. I hope this film shows you just how much we all do",3.1K, 84 replies,3 days ago
209,Thiago Pimenta,Isso sim é um trailer,1,0 reply,11 hours ago
210,jassa g,"The agony in the speech is mind blowing
 ",2,0 reply,13 hours ago
211,Eman,Chadwick Bozeman will always be my black panther. Wakanda Forever!,1,0 reply,8 hours ago
212,Happy2bfree,Give Mrs.Bassett her Oscar now please! R.I.P to Chadwick Boseman! This trailer is awesome!,3,0 reply,12 hours ago
213,Breezy,Goosebumps towards the end,0,0 reply,10 hours ago
214,TheDonBarracuda,"I like it when an MCU doesn't feel like an MCU movie, colours, the tone, the music this feels like it has a soul I hope this isn't just for the teaser but the movie captures this emotion throughout as well not just the first act before it goes all crashy bang world ending.",1.5K, 40 replies,3 days ago (edited)
215,Mariyyah Qibt,"Goosebumps and tears , thats my review for this epic teaser!",0,0 reply,34 minutes ago (edited)
216,Erica H. Ljung,"I got the 'deep breath, flared nostrils and a shaky exhale' when the wakanda forever text came in the end.",1,0 reply,8 hours ago (edited)
217,Barney,WAKANDA FOREVER rest in piece our good friend  ,1,0 reply,2 hours ago
218,Shubham Stark,"Rip Chadwick Boseman
You'll always be the True Black PantherWAKANDA FOREVER️",0,0 reply,13 hours ago
219,Daniel Winters,I think shuri becomes black panther for some of the film but they wake up Killmonger from a coma (maybe they kept him alive somehow) would be a sick redemption arc and him as king would be fitting.,2,0 reply,8 hours ago
220,TheMasterGamerYT,"I... can’t describe how I feel watching this. It feels... like an awe-inspiring preview of what will come, and genuine tribute to Chadwick Boseman. It definitely won’t be the same without him, but I think this will still be an incredible film. Well done, Marvel.",670, 4 replies,2 days ago
221,Arsenic Gaming,Trailer gave me goosebumps… rest well king… WAKANDA FOREVER!,0,0 reply,12 hours ago
222,Alfred Torres III,"Me: This looks incredible…
** Sub-Mariner enters the screen
Me: Holy hell… YES!",0,0 reply,9 hours ago
223,Lazette A. Wells,Hard to wait for this movie. So many emotions.,0,0 reply,3 hours ago
224,Aaron Nickey,This movie moves my spirit! I miss Chadwick so much! If I had a choice for a replacement I would cast Derek Luke!,0,0 reply,12 hours ago
225,William Dean,When the Queen is talking about her entire family being gone... I think this takes place during the snap.,2,0 reply,4 hours ago
226,Sonia’s Way,"The visuals, the music, the tension, the suspense - all are perfectly balanced. I’m so excited for this, can’t wait to watch",1.6K, 29 replies,1 day ago
227,Latisha Is Ga Peach Sweet,If you don’t have tears I’m your eyes then you do not have a heart ️ RIP Chadwick,0,0 reply,6 hours ago
228,G Wild,Please don’t make another trailer let this be it ! I love this,0,0 reply,1 hour ago
229,Buntu Kunene,I am dangerously hyped right now,1,0 reply,7 hours ago
230,More Lucas1144,Definitely the best mcu trailer !,1,0 reply,2 hours ago
231,T Brown,I CAN NOT WAIT!!! ️️️,0,0 reply,6 hours ago
232,calico streets,"This teaser hits different. I’m not emotional, especially with movies. This was done masterfully, every second of it was heavy. THIS IS WHEN FILM BECOMES ART.",638, 9 replies,2 days ago
233,Francisca Ferret,my god.... that was so good. Tears amd goosebumps,1,0 reply,11 hours ago
234,Михаил Самунин,1:11 In case you didn't pay much attention to Marvel announces and cast lists and are wondering who is this girl: this is Riri Williams. She's apparently a Wakandan scientist and this is one reinvention of the character that can actually make me be OK with her.,0,0 reply,10 hours ago
235,Panther1,"After DC came out with ""Aquaman"" I couldn't wait for the MCU to come out with Namor! FINALLY!",0,0 reply,1 hour ago
236,sebastian navarro colina,Cómo hacen con la música es simplemente bella,0,0 reply,3 hours ago
237,LunaKuartiX,MULTIVERSE OF MADNESS WAS AMAZING THE BEST AND NOW THIS WAKANDA FOREVER. BOTH THESE MOVIE ARE THE BEST SO FAR.,3,0 reply,8 hours ago
238,Bret Sheeley,"Is it wrong for me to want no more trailers released for this film? Show nothing else. Just let us go into the movie with nothing more. I'm already ready, at least as much as I can be. Hell, I'll pre-order the tickets now, if you'd let me.",1.2K, 21 replies,15 hours ago (edited)
239,Lucas Durso,"Is it just me or Marvel is getting even better with Phase 4? Like, they have absolute bangers like: WandaVision, Loki, NWH, Multiverse of Madness, Moon Knight, etc. And now this Black Panter 2 movie, that seems good as hell",0,0 reply,11 hours ago
240,FIGHTER X,Wakanda forever ️,2,0 reply,12 hours ago (edited)
241,Soul Fam,100% thats shuri as black panther. Cant wait!! Shes gunna be so good!!!,1,0 reply,1 hour ago
242,Furst Lahst,"Hmm. Love the Marley. The visuals are stunning, too. Namor, eh? Cool! I just hope the writing is respectful to the comic book audience. Good luck, Panther 2!",0,0 reply,10 hours ago
243,Math Rock Maniac🎶,"Wakanda will never die - ""Chadwick Boseman"" probably...if he were still here with us",0,0 reply,10 hours ago
244,DJ Chambliss,I'm literally holding back tears because this trailer was not only beautiful but absolutely stunning. This is literally a tribute to Chadwick Boseman. God rest his soul because he will forever be black panther. I have so much hope that this movie is going to do very well.,1.5K, 22 replies,3 days ago (edited)
245,Rantika Arya,Rest in Peace our beloved Black Panther!,0,0 reply,10 hours ago
246,Gabriel Moura,I got chills when the song mashed up with Alright. Chills!!!!,0,0 reply,9 hours ago
247,GamingwithJang,Wakanda Forever We will never forget Chadwick Boseman!,0,0 reply,3 hours ago
248,John Woods,Never has a trailer got me all choked up. Wakanda Forever,0,0 reply,11 hours ago
249,Still Picture,You know how Peter Parker had that hair raising moment on the bus? This just happened here! ,0,0 reply,11 minutes ago
250,Eric Raziel,"This is like Black Panther, Avatar, and Aquaman all rolled into one. 3 great films, with three amazing lead characters.",1.1K, 33 replies,4 days ago
251,boyschon1,"Seems it´s gonna be amazing, Namor looks great",1,0 reply,10 hours ago (edited)
252,Capitol Chic Designs,I cannot stop watching this. Beautiful.,0,0 reply,11 hours ago
253,Kylz,"TOGETHER WE SAY WAKANDA FOREVER!!!

Rest in peace my king or our king I should say!",0,0 reply,10 hours ago (edited)
254,J Ca,"I'm a huge Marvel movie fan, but this is the only Marvel movie i've really been excited to see since Avengers Endgame.",0,0 reply,12 hours ago
255,Simply Ray,"That’s one beautiful trailer, can’t wait",0,0 reply,4 hours ago
256,DOOM Studios,"This teaser is so exceptional it made me shed into tears, And in the honor of Chadwick Boseman’s legacy and the whisper of “Wakanda Forever.” at the end of this trailer, gave me so much chills and made this teaser trailer even more awaiting.",1.2K, 11 replies,3 days ago
